Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/28/2019 09,51.03,37.36,10861
01/28/2019 10,44.28,37.38,10832
01/28/2019 11,52.53,37.4,10832
01/28/2019 12,41.01,37.42,10808
01/28/2019 13,40.94,37.43,10828
01/28/2019 14,45.43,37.45,10820
01/28/2019 15,41.48,37.46,10829
01/28/2019 16,43.41,37.48,10848
01/28/2019 17,84.8,37.55,10934
01/28/2019 18,51.59,37.57,11209
01/28/2019 19,58.01,37.61,11124
01/28/2019 20,66.82,37.66,10997
01/28/2019 21,79,37.73,10886
01/28/2019 22,51.36,37.76,10668
01/28/2019 23,40.16,37.78,10354
01/28/2019 24,36.14,37.79,10089
01/29/2019 01,33.23,37.79,9908
01/29/2019 02,33.23,37.8,9826
01/29/2019 03,33.23,37.81,9800
01/29/2019 04,33.23,37.82,9788
01/29/2019 05,33.23,37.82,9843
01/29/2019 06,36.73,37.83,10063
01/29/2019 07,73.95,37.89,10411
01/29/2019 08,49.47,37.92,10884
01/29/2019 09,47.88,37.94,11040
01/29/2019 10,39.67,37.96,11068
01/29/2019 11,62.24,38.01,11035
01/29/2019 12,45.49,38.03,11005
01/29/2019 13,52.75,38.06,10961
01/29/2019 14,50.45,38.08,10847
01/29/2019 15,68.26,38.13,10800
01/29/2019 16,56.81,38.17,10807
01/29/2019 17,33.6,38.17,10929
01/29/2019 18,40.19,38.18,11204
01/29/2019 19,33.22,38.18,11176
01/29/2019 20,38.17,38.18,11130
01/29/2019 21,33.23,38.18,10968
01/29/2019 22,33.11,38.15,10668
